simulation_id,total_reward,total_energy_wh,failed_assignments,occupancy_variance,epsilon
1,-1660.00,32.24,0,0.00,0.8000
2,-1672.00,29.61,0,5.56,0.7920
3,-1622.00,28.24,0,0.89,0.7841
4,-1751.00,25.28,0,0.67,0.7762
5,-1723.00,27.99,0,0.22,0.7685
6,-1668.00,27.08,0,0.22,0.7608
7,-1581.00,25.48,0,0.00,0.7532
8,-1482.00,26.20,0,0.00,0.7457
9,-1574.00,30.52,0,0.00,0.7382
10,-1580.00,28.04,0,0.22,0.7308
11,-1706.00,26.83,0,10.67,0.7235
12,-1590.00,19.46,0,1.56,0.7163
13,-1416.00,25.47,0,0.00,0.7091
14,-1514.00,27.44,0,0.22,0.7020
15,-1512.00,27.67,0,0.00,0.6950
16,-1593.00,28.09,0,1.56,0.6880
17,-1651.00,5.19,0,0.00,0.6812
18,-1766.00,23.48,0,8.22,0.6744
19,-1529.00,24.56,0,0.22,0.6676
20,-1499.00,24.29,0,0.22,0.6609
21,-1658.00,29.19,0,0.00,0.6543
22,-1730.00,23.76,0,1.56,0.6478
23,-1603.00,28.68,0,0.00,0.6413
24,-1470.00,28.75,0,0.89,0.6349
25,-1514.00,25.67,0,1.56,0.6285
26,-1590.00,20.76,0,14.00,0.6223
27,-1563.00,25.63,0,8.22,0.6160
28,-1503.00,27.17,0,0.67,0.6099
29,-1624.00,30.53,0,0.22,0.6038
30,-1464.00,29.27,0,0.00,0.5977
31,-1625.00,28.78,0,0.00,0.5918
32,-1493.00,29.23,0,0.00,0.5858
33,-1618.00,20.32,5,0.22,0.5800
34,-1603.00,28.74,0,0.00,0.5742
35,-1570.00,31.90,0,0.00,0.5684
36,-1629.00,28.89,0,0.89,0.5628
37,-1723.00,30.88,0,0.89,0.5571
38,-1773.00,31.44,0,0.89,0.5516
39,-1481.00,24.61,28,2.89,0.5460
40,-1559.00,27.48,0,0.00,0.5406
41,-1609.00,27.96,0,4.22,0.5352
42,-1548.00,23.20,0,0.00,0.5298
43,-1443.00,20.59,0,0.67,0.5245
44,-1440.00,23.20,0,8.67,0.5193
45,-1470.00,27.50,0,0.89,0.5141
46,-1530.00,27.65,0,4.67,0.5089
47,-1672.00,24.86,0,1.56,0.5039
48,-1439.00,28.54,0,0.89,0.4988
49,-1557.00,26.70,0,0.22,0.4938
50,-1459.00,28.70,0,0.89,0.4889
51,-1471.00,29.69,0,0.00,0.4840
52,-1479.00,30.07,0,2.67,0.4792
53,-1514.00,24.19,0,0.22,0.4744
54,-1394.00,29.34,0,0.00,0.4696
55,-1546.00,26.40,0,0.89,0.4649
56,-1493.00,31.07,0,0.00,0.4603
57,-1669.00,25.38,0,0.00,0.4557
58,-1456.00,26.62,0,0.89,0.4511
59,-1493.00,27.92,0,0.00,0.4466
60,-1339.00,28.75,0,0.00,0.4421
61,-1416.00,28.95,0,0.00,0.4377
62,-1494.00,18.21,0,3.56,0.4333
63,-1672.00,26.57,0,12.67,0.4290
64,-1487.00,29.62,0,6.00,0.4247
65,-1493.00,27.78,0,0.00,0.4205
66,-1489.00,23.89,0,0.67,0.4163
67,-1631.00,26.57,0,2.89,0.4121
68,-1625.00,24.03,0,0.00,0.4080
69,-1407.00,21.40,13,9.56,0.4039
70,-1534.00,25.69,0,0.67,0.3999
71,-1670.00,20.04,0,0.89,0.3959
72,-1441.00,26.84,0,1.56,0.3919
73,-1493.00,24.04,0,0.00,0.3880
74,-1493.00,28.43,0,0.00,0.3841
75,-1615.00,26.61,0,0.22,0.3803
76,-1680.00,8.54,0,0.00,0.3765
77,-1530.00,24.36,0,6.22,0.3727
78,-1566.00,30.46,0,2.00,0.3690
79,-1377.00,29.89,0,2.00,0.3653
80,-1526.00,29.57,0,0.00,0.3616
81,-1479.00,22.33,0,20.22,0.3580
82,-1504.00,25.83,0,0.00,0.3544
83,-1671.00,30.73,0,0.00,0.3509
84,-1702.00,30.42,0,0.00,0.3474
85,-1310.00,17.12,20,8.67,0.3439
86,-1512.00,22.36,0,16.22,0.3405
87,-1581.00,28.85,0,0.00,0.3371
88,-1624.00,30.93,0,0.22,0.3337
89,-1416.00,28.92,0,0.00,0.3304
90,-1480.00,26.63,0,0.22,0.3271
91,-1629.00,30.99,0,0.22,0.3238
92,-1632.00,22.10,0,2.67,0.3205
93,-1537.00,24.46,0,0.00,0.3173
94,-1491.00,17.83,3,20.22,0.3142
95,-1482.00,24.92,0,0.00,0.3110
96,-1427.00,30.79,0,0.00,0.3079
97,-1394.00,27.30,0,0.00,0.3048
98,-1563.00,23.38,0,20.67,0.3018
99,-1383.00,25.55,0,0.00,0.2988
100,-1569.00,27.72,0,0.22,0.2958
101,-1449.00,29.62,0,0.00,0.2928
102,-1414.00,26.32,0,3.56,0.2899
103,-1477.00,27.12,0,1.56,0.2870
104,-1510.00,24.88,0,6.89,0.2841
105,-1490.00,25.42,0,0.67,0.2813
106,-1617.00,28.23,0,2.67,0.2785
107,-1574.00,26.20,0,4.22,0.2757
108,-1493.00,28.58,0,0.00,0.2729
109,-1573.00,23.31,0,2.89,0.2702
110,-1411.00,28.84,0,1.56,0.2675
111,-1585.00,25.88,0,1.56,0.2648
112,-1488.00,27.18,0,2.00,0.2622
113,-1482.00,30.33,0,0.00,0.2596
114,-1372.00,28.48,0,0.00,0.2570
115,-1580.00,30.39,0,0.89,0.2544
116,-1459.00,28.07,0,0.89,0.2518
